,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,15.38,16.26,16.2,15.22,14.88,14.47,13.82,12.93,12.31,11.78,12.66,12.56,11.88
1,33.02,34.58,35.86,35.58,35.3,34.27,34.12,35.39,36.54,36.8,36.74,37.48,38.26
2,40.63,38.91,39.12,40.54,40.92,42.19,42.85,42.58,42.17,42.47,41.83,41.21,41.33
3,10.97,10.25,8.82,8.67,8.9,9.07,9.21,9.1,8.98,8.94,8.77,8.75,8.53
